City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Sallanches,FR,2021-10-30 22:35:06,45.9442,6.6316,55.4,83,93,5.97
263,Takoradi,GH,2021-10-30 22:35:07,4.8845,-1.7554,78.24,87,92,8.75
264,Kirensk,RU,2021-10-30 22:33:10,57.7853,108.1119,34.93,60,100,8.16
265,Palmer,US,2021-10-30 22:35:07,42.1584,-72.3287,58.89,86,90,1.01
266,Manyana,BW,2021-10-30 22:35:08,-23.4,21.7167,69.21,21,0,8.81
267,Rio Gallegos,AR,2021-10-30 22:30:09,-51.6226,-69.2181,57.25,38,0,16.11
268,Goderich,CA,2021-10-30 22:35:08,43.7501,-81.7165,50.92,81,100,3.44
269,Tefe,BR,2021-10-30 22:35:09,-3.3542,-64.7114,86.11,74,20,3.44
270,Isla Mujeres,MX,2021-10-30 22:35:09,21.2311,-86.731,80.65,61,28,15.7
271,Hopewell,US,2021-10-30 22:36:10,37.3043,-77.2872,60.71,82,96,6.17
272,Louis Trichardt,ZA,2021-10-30 22:36:10,-23.0439,29.9032,61.93,88,66,12.62
273,Great Falls,US,2021-10-30 22:36:11,47.5002,-111.3008,33.67,76,90,0.0
274,Labuhan,ID,2021-10-30 22:34:36,-6.8844,112.2051,80.37,81,92,4.43
275,Karratha,AU,2021-10-30 22:36:11,-20.7377,116.8463,75.06,63,0,6.31
276,Hay River,CA,2021-10-30 22:36:12,60.8156,-115.7999,35.58,75,75,10.36
277,Grindavik,IS,2021-10-30 22:36:12,63.8424,-22.4338,37.87,93,0,10.36
278,Roebourne,AU,2021-10-30 22:36:13,-20.7833,117.1333,75.06,63,0,6.96
279,Praia,CV,2021-10-30 22:36:13,14.9215,-23.5087,77.54,88,75,16.11
280,Shuangcheng,CN,2021-10-30 22:36:14,45.35,126.2833,31.68,75,100,10.58
281,Severo-Kurilsk,RU,2021-10-30 22:36:14,50.6789,156.125,41.56,79,86,13.62
282,Aloleng,PH,2021-10-30 22:36:15,16.1307,119.7824,79.14,77,6,7.83
283,Rio Grande,BR,2021-10-30 22:36:15,-32.035,-52.0986,71.94,85,46,18.61
284,Adrar,MR,2021-10-30 22:36:16,20.5022,-10.0711,79.18,38,100,9.24
285,Oda,JP,2021-10-30 22:36:16,35.1833,132.5,52.57,81,80,4.38
286,Umm Kaddadah,SD,2021-10-30 22:34:10,13.6017,26.6876,85.93,23,30,11.03
287,Katherine,AU,2021-10-30 22:36:17,-14.4667,132.2667,82.72,69,75,0.0
288,Flinders,AU,2021-10-30 22:36:18,-34.5833,150.8552,63.81,63,0,3.0
289,Tapes,BR,2021-10-30 22:34:44,-30.6733,-51.3958,68.59,85,23,19.66
290,Panzhihua,CN,2021-10-30 22:36:18,26.5851,101.7128,57.67,96,17,1.81
291,Wasilla,US,2021-10-30 22:36:19,61.5814,-149.4394,45.95,70,75,8.99
292,Taoudenni,ML,2021-10-30 22:36:19,22.6783,-3.9836,84.4,27,1,9.13
293,Ekhabi,RU,2021-10-30 22:36:19,53.5102,142.9671,29.52,57,100,16.58
294,Baykit,RU,2021-10-30 22:36:20,61.67,96.37,16.45,84,99,10.56
