City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Brownsville,US,25.9018,-97.4975,75.15,62,1,3.0,clear sky
259,Sungaipenuh,ID,-2.0833,101.3833,65.73,99,100,2.37,light rain
260,Lorengau,PG,-2.0226,147.2712,81.72,78,59,8.97,broken clouds
261,Aswan,EG,24.0934,32.907,85.55,21,0,11.07,clear sky
262,Asfi,MA,32.2994,-9.2372,65.64,51,0,27.27,clear sky
263,Kologriv,RU,58.8275,44.3178,42.96,84,100,10.98,overcast clouds
264,Havre-Saint-Pierre,CA,50.2334,-63.5986,45.19,70,20,19.57,few clouds
265,Oistins,BB,13.0667,-59.5333,86.09,66,40,20.71,scattered clouds
266,Yulara,AU,-25.2406,130.9889,67.84,88,90,9.22,overcast clouds
267,Touros,BR,-5.1989,-35.4608,88.7,62,96,13.47,overcast clouds
268,Hare Bay,CA,48.8499,-54.0148,40.35,55,53,13.27,broken clouds
269,Vao,NC,-22.6667,167.4833,67.35,63,14,6.62,few clouds
270,Dikson,RU,73.5069,80.5464,15.91,92,100,15.48,overcast clouds
271,Vallenar,CL,-28.5708,-70.7581,82.38,17,11,10.25,few clouds
272,Sri Aman,MY,1.2376,111.4621,77.05,100,100,0.0,overcast clouds
273,Broome,US,42.2506,-75.833,51.06,52,1,1.99,clear sky
274,Colares,PT,38.7992,-9.4469,61.57,35,0,1.99,clear sky
275,Topolobampo,MX,25.6,-109.05,84.06,39,83,1.72,broken clouds
276,Port Lincoln,AU,-34.7333,135.8667,55.69,61,100,7.58,overcast clouds
277,Namwala,ZM,-15.7504,26.4384,87.37,17,97,6.62,overcast clouds
278,Maceio,BR,-9.6658,-35.7353,92.64,62,20,16.11,few clouds
279,Turukhansk,RU,65.8167,87.9833,18.72,93,100,17.83,overcast clouds
280,Eisenerz,AT,47.5333,14.8833,42.21,85,6,2.08,clear sky
281,Korsakov,RU,46.6328,142.7813,44.44,80,84,20.13,moderate rain
282,Roswell,US,34.0232,-84.3616,57.88,50,1,1.01,clear sky
283,Ligayan,PH,4.6533,119.4706,83.88,71,93,3.85,overcast clouds
284,Bereda,ES,43.2686,-7.5406,53.35,87,9,3.62,clear sky
285,Sitka,US,57.0531,-135.33,44.49,70,75,12.66,light rain
286,Aklavik,CA,68.2191,-135.0107,17.6,93,90,8.05,mist
287,Leicester,GB,52.6386,-1.1317,55.96,84,92,21.3,overcast clouds
288,Raton,US,36.9034,-104.4391,70.57,18,1,3.44,clear sky
289,Isangel,VU,-19.55,169.2667,72.05,85,100,8.16,overcast clouds
290,Road Town,VG,18.4167,-64.6167,86.09,66,20,11.5,few clouds
291,Lao Cai,VN,22.4833,103.95,73.6,93,14,1.01,few clouds
292,Grindavik,IS,63.8424,-22.4338,37.35,93,90,13.8,overcast clouds
293,Houma,US,29.5958,-90.7195,66.0,63,1,12.66,clear sky
294,Coahuayana,MX,18.7333,-103.6833,86.79,59,96,1.79,overcast clouds
295,Fairbanks,US,64.8378,-147.7164,26.56,87,90,0.0,overcast clouds
296,Goderich,CA,43.7501,-81.7165,51.91,61,98,13.8,overcast clouds
297,Metro,ID,-5.1131,105.3067,76.46,87,100,3.15,overcast clouds
298,Mecca,SA,21.4267,39.8261,81.32,56,0,4.61,clear sky
299,Dalvik,IS,65.9702,-18.5286,33.73,97,100,2.89,light rain
300,Bonthe,SL,7.5264,-12.505,83.3,74,49,6.02,scattered clouds
301,Gradsko,MK,41.5775,21.9428,58.14,69,94,2.66,overcast clouds
302,Bacolod,PH,10.6667,122.95,79.07,86,99,7.29,overcast clouds
303,San Cristobal,VE,7.7669,-72.225,82.58,44,53,9.06,broken clouds
304,Mandalgovi,MN,45.7625,106.2708,11.28,64,0,11.83,clear sky
305,Jieshi,CN,22.8134,115.8257,80.94,82,4,5.97,light rain
306,Jinchang,CN,38.4953,102.1739,17.46,45,69,7.47,broken clouds
307,Vrede,ZA,-27.4257,29.1659,61.25,73,83,3.51,broken clouds
308,Luderitz,NA,-26.6481,15.1594,65.52,61,100,25.41,overcast clouds
309,Iqaluit,CA,63.7506,-68.5145,19.13,78,75,15.01,broken clouds
310,Port Macquarie,AU,-31.4333,152.9167,60.76,91,92,9.22,overcast clouds
311,Mayuge,UG,0.4597,33.4803,66.31,83,82,4.52,light rain
312,Kiama,AU,-34.6833,150.8667,65.68,90,62,7.14,broken clouds
313,Pokhara,NP,28.2333,83.9833,60.89,77,83,2.89,broken clouds
314,Isla Vista,US,34.4133,-119.861,64.35,88,90,3.44,overcast clouds
315,Belyy Yar,RU,53.6039,91.3903,31.89,70,0,13.42,clear sky
316,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,74,49,15.03,scattered clouds
317,Aden,YE,12.7794,45.0367,82.54,59,71,7.74,broken clouds
318,Maneadero,MX,31.7167,-116.5667,68.09,62,8,2.26,clear sky
319,Te Anau,NZ,-45.4167,167.7167,44.2,89,54,0.49,broken clouds
320,Sept-Iles,CA,50.2001,-66.3821,46.92,71,20,8.99,few clouds
321,Fort Nelson,CA,58.8053,-122.7002,31.59,93,90,3.44,snow
